platform,post_type,post_length,views,likes,comments,shares,engagement_rate
Facebook,Text,62,91660,2968,276,346,0.039166484835260744
Instagram,Video,104,113115,4164,632,406,0.04598859567696592
Facebook,Video,46,36043,3125,188,100,0.09469245068390533
Facebook,Image,39,124886,5970,948,578,0.06002274073955447
Instagram,Video,42,82831,8212,1104,334,0.11650227571802828
Instagram,Video,71,221855,5252,459,775,0.029235311352009196
Facebook,Text,45,69250,3580,530,192,0.062122743682310466
Twitter,Video,103,171894,13050,917,1441,0.08963663653181612
Facebook,Text,54,193496,2028,202,213,0.01262558399140034
Facebook,Video,108,69345,1641,180,180,0.028855721393034824
Facebook,Video,90,186950,2212,368,167,0.014693768387269324
Facebook,Video,76,199035,19775,1904,586,0.11186474740623509
Instagram,Image,83,247591,19425,1114,2863,0.09451878299291977
Facebook,Text,49,88898,3877,298,174,0.04892123557335373
Twitter,Image,75,133108,3203,452,384,0.030343780989872886
Instagram,Video,23,95034,1723,90,65,0.01976134856998548
Twitter,Image,108,95923,5551,937,313,0.07090061820418461
Twitter,Text,110,12273,1200,222,111,0.1249083353703251
Twitter,Video,21,158102,11180,1389,824,0.08471113584900887
Twitter,Image,69,129419,5547,866,801,0.055741429001923984
Instagram,Image,113,57460,3164,377,411,0.06877828054298643
Instagram,Text,97,266940,26667,2568,3728,0.12348467820484003
Twitter,Image,81,78939,4474,334,462,0.06676040993678663
Twitter,Text,60,152111,14721,1880,713,0.11382477269888437
Instagram,Video,116,19017,218,41,19,0.01461849923752432
Instagram,Video,97,87901,6582,1207,786,0.09755292886315287
Instagram,Image,45,118000,7840,1473,222,0.08080508474576271
Facebook,Video,46,42215,3025,589,399,0.09506099727584981
Facebook,Video,10,15583,956,71,97,0.07212988513123275
Facebook,Image,73,166991,2333,167,266,0.01656376690959393
Twitter,Video,102,49025,1150,131,126,0.02869964303926568
Facebook,Image,79,178326,16584,2543,2159,0.11936565615782331
Twitter,Text,77,179347,5553,643,174,0.035517739354435814
Twitter,Text,106,59943,5956,1095,411,0.12448492734764693
Facebook,Text,44,143586,10218,1610,872,0.08844873455629379
Twitter,Image,45,171488,8573,1243,780,0.06178857995894756
Facebook,Image,13,4511,418,25,59,0.1112835291509643
Facebook,Video,12,152714,12453,950,317,0.08984114095629739
